timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1696789297987,23770,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-911,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,23770
1696789297697,24060,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-680,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24060
1696789297652,24104,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-610,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24104
1696789297648,24109,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-613,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24109
1696789297954,23803,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-884,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,23803
1696789297954,23803,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-877,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,23803
1696789297934,23823,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-846,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,23823
1696789297683,24074,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-639,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24074
1696789297683,24074,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-660,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24074
1696789297691,24066,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-643,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24066
1696789297722,24035,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-725,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24035
1696789297622,24135,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-514,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24135
1696789297969,23789,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-908,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,23788
1696789297974,23784,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-882,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,23784
1696789297935,23823,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-856,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,23823
1696789297624,24134,HTTP Request,Non HTTP response code: java.net.SocketException,"Non HTTP response message: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond",Thread Group crit 2-526,text,false,Test failed: code expected to contain /200/,3553,0,2000,2003,https://jsonplaceholder.typicode.com/posts/1,0,0,24134
